sector,indicator,type,hit_rate,trades
Industrials,UT Bot Alert,KPI,0.5652418447694039,1778
Industrials,Ichimoku,KPI,0.562753036437247,1482
Industrials,MA Ribbon,KPI,,0
Industrials,Madrid Ribbon,KPI,0.5701459034792368,891
Industrials,Donchian Ribbon,KPI,0.5425531914893617,1880
Industrials,DEMA,KPI,0.5471204188481675,1910
Industrials,TuTCI,KPI,0.5563204005006258,1598
Industrials,GMMA,KPI,0.5426908150064683,1546
Industrials,Mansfield RS,KPI,0.5776105362182502,1063
Industrials,OBVOSC_LB,KPI,0.5334655428854734,2017
Industrials,BB 30,KPI,,12
Industrials,Nadaraya-Watson Envelop (MAE),KPI,0.5882352941176471,34
Industrials,C3,Combo,0.7164179104477612,67
Industrials,C4,Combo,0.6923076923076923,39
Industrials,C5,Combo,0.6923076923076923,26
Technology,Nadaraya-Watson Smoother,KPI,0.6751592356687898,2669
Technology,cRSI,KPI,0.5317460317460317,2142
Technology,SR Breaks,KPI,0.5241379310344828,145
Technology,Stoch_MTM,KPI,0.5509499136442142,579
Technology,CM_P-SAR,KPI,0.5648500211237854,2367
Technology,WT_LB,KPI,0.5588420390182505,1589
Technology,ADX & DI,KPI,0.538625693555271,2343
Technology,SQZMOM_LB,KPI,0.5620320855614973,1870
Technology,CM_Ult_MacD_MFT,KPI,0.5380082498526813,1697
Technology,SuperTrend,KPI,0.5479698167445203,2783
Technology,UT Bot Alert,KPI,0.555379746835443,1896
Technology,Ichimoku,KPI,0.5441176470588235,1768
Technology,MA Ribbon,KPI,,0
Technology,Madrid Ribbon,KPI,0.5282146160962072,1081
Technology,Donchian Ribbon,KPI,0.5294372294372295,2310
Technology,DEMA,KPI,0.5376676986584107,1938
Technology,TuTCI,KPI,0.5050933786078099,1178
Technology,GMMA,KPI,0.5510411376333164,1969
Technology,Mansfield RS,KPI,0.5804676753782668,1454
Technology,OBVOSC_LB,KPI,0.5386353366470854,2213
Technology,BB 30,KPI,,11
Technology,Nadaraya-Watson Envelop (MAE),KPI,0.7037037037037037,27
Technology,C3,Combo,0.7272727272727273,33
Technology,C4,Combo,0.75,16
Technology,C5,Combo,0.75,16
